"Haltestellen_Id";"Haltestellennummer";"Haltestellenkurzname";"Haltestellenlangname"
306;1011;"GOBA";"Küsnacht ZH, Goldbacherstrasse"
706;1106;"HABA";"Küsnacht ZH, Hallenbad"
313;1182;"HESL";"Küsnacht ZH, Hesligenstrasse"
312;1189;"HIST";"Küsnacht ZH, Himmelistrasse"
310;1769;"OBHE";"Küsnacht ZH, Obere Heslibachst"
708;1779;"OBFE";"Küsnacht ZH, Oberfeld"
309;1818;"OBWA";"Küsnacht ZH, Oberwacht"
314;2122;"RAEN";"Küsnacht ZH, Ränkestrasse"
705;2043;"RKIK";"Küsnacht ZH, Reform. Kirche"
594;2167;"SIHG";"Küsnacht ZH, Schiedhaldensteig"
308;2168;"SIHE";"Küsnacht ZH, Schiedhaldenstr."
593;2327;"SUEB";"Küsnacht ZH, Schübel"
703;3744;"ZENK";"Küsnacht ZH, Zentrum"
9;12504;"LWIE99";"Langwies ZH"
12;12506;"MAI99";"Maiacher"
267;3134;"MASC";"Maur, Aschbach"
268;678;"MDOR";"Maur, Dorf"
269;1403;"MKIR";"Maur, Kirche"
614;1892;"MPLA";"Maur, Platten"
270;2342;"MSEE";"Maur, See"
23;12508;"NFOR99";"Neue Forch"
6;12509;"NHA99";"Neuhaus bei Hinteregg"
239;748;"EGGB";"Oberengstringen, Eggbühl"
238;1516;"LANZ";"Oberengstringen, Lanzrain"
236;1862;"PAEN";"Oberengstringen, Paradies"
237;2984;"OBEE";"Oberengstringen, Zentrum"
761;6208;"OBLIBÜN";"Oberwil-Lieli, Bündtenmättli"
762;6207;"OBEDRE";"Oberwil-Lieli, Dreispitz"
765;6204;"OBEENG";"Oberwil-Lieli, Englisächer"
763;6206;"OBLIMO";"Oberwil-Lieli, Im Moos"
764;6205;"OBLIDO";"Oberwil-Lieli, Lieli Dorf"
577;7020;"OSCH";"Oetwil a.d.L., Schweizäcker"
586;7065;"OGAS";"Oetwil an der Limmat, Gässliacker"
578;1094;"OHAL";"Oetwil an der Limmat, Halde"
587;1759;"OBDO";"Oetwil an der Limmat, Oberdorf"
579;1964;"OZEN";"Oetwil an der Limmat, Zentrum"
696;2286;"SCHU07";"Opfikon, Schulstrasse"
697;6808;"OSCH07";"Opfikon, Schwimmbad"
609;833;"FELH";"Pfaffhausen, Feldhof"
535;1873;"PMUE";"Pfaffhausen, Müseren"
607;1871;"PFAF";"Pfaffhausen, Pfaffenstein"
608;2622;"SAGG";"Pfaffhausen, Sängglen"
769;2514;"REPP";"Reppischhof, Station"
771;7110;"RHOF";"Rudolfstetten, Hofacker"
770;7109;"RSTA";"Rudolfstetten, Station"
547;6507;"RBAU07";"Rümlang, Bäuler"
346;3186;"RUEB";"Rüschlikon, Bahnhof"
349;443;"BELV";"Rüschlikon, Belvoir"
345;515;"BODE";"Rüschlikon, Bodengasse"
352;6448;"EGGR";"Rüschlikon, Eggrain"
348;1505;"LANH";"Rüschlikon, Langhaldenstrasse"
351;6447;"LRAI";"Rüschlikon, Loorain"
353;1657;"MOOS";"Rüschlikon, Moosstrasse"
354;6492;"RPAR";"Rüschlikon, Park im Grüene"
668;6009;"RREB";"Rüschlikon, Rebsteig"
350;3187;"RSAU";"Rüschlikon, Säumerstrasse"
344;410;"BSRU";"Rüschlikon, Schlossstrasse"
347;2852;"WEID";"Rüschlikon, Weidstrasse"
796;7133;"SALT";"Sarmenstorf, Altersheim"
797;7134;"SKIR";"Sarmenstorf, Kirche"
